query-id	corpus-id	score
1682	23179372	1
3722	26997282	1
1235	20215713	1
2103	26530723	1
1713	23074401	1
496	25514659	1
3836	31196834	1
612	20637221	1
813	18346126	1
165	23182945	1
106	23671339	1
2396	27892769	1
2965	28370177	1
1996	27539526	1
2662	23204322	1
1948	19160492	1
4071	17721227	1
465	21117539	1
1691	22055460	1
3458	23250022	1
1878	22722342	1
121	25519680	1
4709	33307872	1
4615	34110722	1
1195	22565760	1
3944	26361024	1
4147	8527967	1
763	18031713	1
4524	34107136	1
3952	32011192	1
3765	20049699	1
3857	32562029	1
1376	22972992	1
3426	29197875	1
4392	29594035	1
995	14530176	1
2251	22479200	1
671	12208164	1
3940	31660152	1
343	23147248	1
2702	27264557	1
1282	19948482	1
4579	34862880	1
2484	26776207	1
1726	22305159	1
4487	33638305	1
1987	23924899	1
3418	9587066	1
2307	26268193	1
4437	19105408	1
416	22968481	1
4448	31301033	1
2483	20438784	1
339	8411203	1
647	21199105	1
3617	10566200	1
3206	29531424	1
4564	34244665	1
1693	12050112	1
4120	31675472	1
1234	25840010	1
2770	15909992	1
3787	25639508	1
2905	24667717	1
2237	27370569	1
3039	30205177	1
284	25641220	1
2298	10073572	1
4310	32409089	1
4601	30719578	1
3810	28035551	1
4231	32674208	1
2450	28241736	1
1674	17946720	1
2818	28924672	1
4230	32168452	1
4327	32786546	1
816	17392515	1
4204	22435808	1
904	18033728	1
3266	29137239	1
2283	28407038	1
3926	32689928	1
3297	28622736	1
3843	27347137	1
4096	29217730	1
3686	23144237	1
1317	21860772	1
1908	23840513	1
1596	20880963	1
629	20599721	1
670	24077282	1
395	16978272	1
957	22009156	1
285	23945733	1
4468	32868918	1
1695	8864644	1
3839	21456524	1
4062	29209056	1
4036	33057672	1
2599	24690977	1
2277	25409831	1
3201	28928081	1
1862	25379384	1
4189	31242752	1
3320	18447746	1
3520	29321253	1
211	16672832	1
3341	24667640	1
1042	23701638	1
2381	24014378	1
2436	28752224	1
2191	26728715	1
461	20850564	1
3312	26351520	1
3990	32865304	1
1484	14977793	1
4301	34047392	1
879	19714338	1
1104	15922277	1
2066	25939784	1
1505	14745222	1
2126	15226563	1
4682	26439747	1
2177	22495304	1
1447	15183554	1
1528	15916100	1
772	7620118	1
3732	11768602	1
4570	34117353	1
3405	28862574	1
4711	34505967	1
3049	29358629	1
656	14963686	1
1337	15039233	1
325	22245792	1
599	24304610	1
959	25220802	1
2290	16973436	1
3437	25485886	1
4642	20356359	1
1984	26685307	1
2783	28381231	1
1586	24097267	1
628	21548832	1
1681	6592581	1
2274	28196106	1
244	11577024	1
782	25894691	1
3519	29895698	1
3769	32096284	1
3303	29054129	1
3448	29047301	1
2759	20820472	1
2945	27216072	1
541	18279518	1
2911	29028909	1
2648	28430627	1
3726	29129088	1
2927	29089721	1
2555	28459942	1
1757	24167709	1
1444	18673445	1
4005	31969328	1
3136	27653758	1
1760	18021920	1
1453	25520769	1
3632	29499588	1
2405	22927401	1
3017	28067908	1
437	22017589	1
1397	26084259	1
2570	26633090	1
4045	22827758	1
2999	30291343	1
3854	30285185	1
3580	29788192	1
2530	28992906	1
134	22662273	1
3982	32266704	1
2843	29327913	1
1665	18978305	1
3207	15679840	1
3497	29887379	1
155	23446346	1
185	22101825	1
60	17001349	1
1773	23294276	1
3558	25249568	1
4607	34413140	1
2590	21493184	1
790	14500064	1
2280	27052640	1
3188	28406466	1
4192	27631111	1
1169	23376192	1
3209	29413774	1
309	23391427	1
1750	26425441	1
3692	28933601	1
1059	24178563	1
4138	7939730	1
1491	21206757	1
609	11931232	1
1945	25477509	1
3657	1824645	1
3638	26516064	1
2171	8592224	1
4101	25024773	1
2244	1379232	1
4254	34757206	1
3824	32038992	1
4134	25380956	1
1159	24123008	1
4029	32728595	1
3110	26137081	1
1406	22709892	1
1645	21136256	1
3054	28780612	1
3474	25224968	1
509	18045856	1
3006	29697153	1
3319	26938566	1
4053	31785177	1
2127	25378307	1
4400	31936187	1
2340	26095746	1
2556	28025282	1
251	20005186	1
2401	11559751	1
4710	34642274	1
3625	28039265	1
1935	26342387	1
316	9099905	1
1992	9112448	1
874	23866593	1
1160	26152132	1
3669	2451706	1
3508	28012176	1
2470	26865511	1
1441	24510436	1
2879	28450637	1
1279	9381026	1
2438	27450626	1
3545	30312216	1
440	7474061	1
3994	28067910	1
1307	23279204	1
2991	20691136	1
195	19006851	1
323	17622371	1
3511	26673799	1
2913	27999985	1
2031	26850179	1
314	25186601	1
1030	16987878	1
118	22795129	1
893	21699851	1
947	21702048	1
2975	30167841	1
41	24056933	1
1543	8879267	1
4116	26634309	1
1244	25079683	1
4352	34881402	1
3001	29369293	1
2288	28355556	1
373	17615296	1
1158	22127713	1
3907	30776422	1
434	12894594	1
1313	19034401	1
4658	32589708	1
639	23001136	1
1515	24216225	1
2447	25373504	1
4549	30862089	1
769	24045665	1
1623	24125847	1
1985	27941336	1
1101	21987714	1
3849	30335168	1
1784	22426368	1
4558	34061450	1
2851	28416184	1
3800	31602563	1
1832	27587683	1
111	24925090	1
1624	21364800	1
2411	16061113	1
1697	1331777	1
3865	32905675	1
4087	30504800	1
3080	19918272	1
2923	26523632	1
320	18067809	1
1906	26819472	1
4288	28696420	1
2152	23918810	1
1301	1996802	1
1937	21319793	1
972	21426944	1
3991	31579938	1
2547	22206790	1
3928	31965987	1
2779	27940404	1
956	21955456	1
2222	24486016	1
2798	30120738	1
526	15936275	1
3605	23229448	1
3705	26305889	1
2548	25156675	1
1070	23697028	1
2898	29665120	1
2161	19910535	1
1373	16006304	1
3778	18270852	1
2512	18793760	1
4477	32444192	1
1588	21963854	1
1034	20015528	1
4347	34875308	1
932	9001190	1
3022	30413378	1
4109	29449600	1
757	10744320	1
3191	26438538	1
4705	33598857	1
1365	18786252	1
2378	25182241	1
2116	24843030	1
219	11498704	1
978	23704573	1
4500	32891715	1
3354	31375588	1
1016	22962458	1
1887	20926643	1
3047	30016770	1
433	26046039	1
673	24092929	1
1499	23647072	1
4149	25612864	1
988	12777511	1
1062	23483616	1
3394	31171755	1
4337	34564706	1
847	15143174	1
570	8048706	1
747	24092421	1
3404	28385352	1
4532	20721668	1
2566	26845027	1
2544	27474376	1
1849	19458616	1
4037	24155139	1
1708	22206666	1
3637	29483269	1
3950	27573763	1
4228	15593221	1
2967	29477724	1
4537	34434441	1
1396	61441	1
2944	30201700	1
3523	8049444	1
1079	24206177	1
525	19666486	1
3796	22777229	1
4215	27087232	1
2346	9120866	1
3634	25376608	1
3104	25505382	1
3346	28931371	1
2069	26358182	1
2135	22787202	1
3731	28515625	1
4157	14732961	1
3815	9012519	1
4503	18463136	1
2037	24491904	1
687	16049921	1
3967	31709696	1
983	17203459	1
3361	6226660	1
4358	34245817	1
2117	20542434	1
1352	19830689	1
4718	30580288	1
1374	20971907	1
1911	19828738	1
2902	26892289	1
3028	29522278	1
3599	30588322	1
4048	32393641	1
2297	27480489	1
2167	25958395	1
2392	17080288	1
3464	26049728	1
4455	2038147	1
2316	28109959	1
3883	32677452	1
1045	17298950	1
1214	12730117	1
4614	33137401	1
1157	22954629	1
4095	28412960	1
4	22867712	1
3494	28189763	1
4051	32557339	1
1297	19131648	1
2709	17050378	1
2292	29145888	1
1113	23507588	1
815	9430400	1
157	22155237	1
4241	34136961	1
39	19571232	1
3043	30093505	1
1051	22209284	1
1252	23540417	1
2649	26934530	1
887	25891173	1
3942	29680938	1
4165	32591783	1
958	23847141	1
4712	33559681	1
1667	22649506	1
2529	10623985	1
3221	18191042	1
2954	30140466	1
1673	21311168	1
2496	23965473	1
3729	30447999	1
3045	29449508	1
327	15817328	1
3549	29334914	1
4332	32786546	1
1479	19498465	1
4197	2176962	1
4581	18158835	1
3600	8078586	1
1729	21062273	1
650	17550915	1
2792	16802291	1
2335	29069650	1
2665	28073888	1
4469	34176192	1
1425	19656325	1
3859	19488000	1
224	22879880	1
432	18856066	1
551	19579175	1
1097	19951746	1
1382	23024658	1
1133	25542499	1
3363	22702336	1
3710	23593142	1
4418	31606247	1
290	7702086	1
2904	29500635	1
4356	34539392	1
3598	28382457	1
818	23313345	1
3823	26673713	1
3745	28460050	1
4694	34849585	1
1345	22726460	1
1055	21264352	1
927	19204208	1
3583	29532440	1
379	15143168	1
1733	19076450	1
2016	21670341	1
340	16784548	1
1327	25326752	1
3493	29310832	1
4132	29907817	1
1998	24278273	1
3652	30805057	1
574	25529221	1
614	24614105	1
4592	34256819	1
2955	30137632	1
885	17293442	1
1712	17210241	1
2815	29996107	1
1531	21303950	1
1774	12091129	1
625	3289612	1
2633	21208982	1
367	22339463	1
2490	24564250	1
800	19969543	1
2090	2629632	1
1734	24287559	1
1471	17697977	1
1176	18685925	1
4158	32345345	1
4013	30726693	1
755	23951168	1
2148	25385797	1
4453	32976962	1
3003	29461065	1
3409	24564768	1
3306	26832418	1
801	24079768	1
3884	25158796	1
1186	17686849	1
2471	20500033	1
482	23208322	1
348	23107651	1
1200	22021377	1
4207	32078672	1
662	23680005	1
3367	28168704	1
3248	30246318	1
4025	33049114	1
2233	15653632	1
3672	11463840	1
95	19369356	1
4368	34269473	1
3232	28806018	1
363	24112897	1
4533	9658274	1
92	20384580	1
