query-id	corpus-id	score
finqa_query_0	finqa_corpus_0	1
finqa_query_1	finqa_corpus_1	1
finqa_query_2	finqa_corpus_2	1
finqa_query_3	finqa_corpus_19	1
finqa_query_4	finqa_corpus_3998	1
finqa_query_5	finqa_corpus_4486	1
finqa_query_6	finqa_corpus_1979	1
finqa_query_7	finqa_corpus_7	1
finqa_query_8	finqa_corpus_1827	1
finqa_query_9	finqa_corpus_1161	1
finqa_query_10	finqa_corpus_10	1
finqa_query_11	finqa_corpus_11	1
finqa_query_12	finqa_corpus_12	1
finqa_query_13	finqa_corpus_13	1
finqa_query_14	finqa_corpus_14	1
finqa_query_15	finqa_corpus_15	1
finqa_query_16	finqa_corpus_16	1
finqa_query_17	finqa_corpus_1058	1
finqa_query_18	finqa_corpus_18	1
finqa_query_19	finqa_corpus_19	1
finqa_query_20	finqa_corpus_20	1
finqa_query_21	finqa_corpus_21	1
finqa_query_22	finqa_corpus_1737	1
finqa_query_23	finqa_corpus_1629	1
finqa_query_24	finqa_corpus_1147	1
finqa_query_25	finqa_corpus_25	1
finqa_query_26	finqa_corpus_26	1
finqa_query_27	finqa_corpus_2409	1
finqa_query_28	finqa_corpus_28	1
finqa_query_29	finqa_corpus_29	1
finqa_query_30	finqa_corpus_1281	1
finqa_query_31	finqa_corpus_1895	1
finqa_query_32	finqa_corpus_1918	1
finqa_query_33	finqa_corpus_33	1
finqa_query_34	finqa_corpus_1893	1
finqa_query_35	finqa_corpus_1301	1
finqa_query_36	finqa_corpus_36	1
finqa_query_37	finqa_corpus_1281	1
finqa_query_38	finqa_corpus_38	1
finqa_query_39	finqa_corpus_39	1
finqa_query_40	finqa_corpus_40	1
finqa_query_41	finqa_corpus_1322	1
finqa_query_42	finqa_corpus_42	1
finqa_query_43	finqa_corpus_1260	1
finqa_query_44	finqa_corpus_1449	1
finqa_query_45	finqa_corpus_1017	1
finqa_query_46	finqa_corpus_46	1
finqa_query_47	finqa_corpus_1291	1
finqa_query_48	finqa_corpus_3272	1
finqa_query_49	finqa_corpus_2890	1
finqa_query_50	finqa_corpus_50	1
finqa_query_51	finqa_corpus_476	1
finqa_query_52	finqa_corpus_2039	1
finqa_query_53	finqa_corpus_4220	1
finqa_query_54	finqa_corpus_4492	1
finqa_query_55	finqa_corpus_1823	1
finqa_query_56	finqa_corpus_56	1
finqa_query_57	finqa_corpus_2850	1
finqa_query_58	finqa_corpus_3088	1
finqa_query_59	finqa_corpus_1242	1
finqa_query_60	finqa_corpus_3657	1
finqa_query_61	finqa_corpus_2716	1
finqa_query_62	finqa_corpus_3724	1
finqa_query_63	finqa_corpus_5045	1
finqa_query_64	finqa_corpus_1047	1
finqa_query_65	finqa_corpus_5519	1
finqa_query_66	finqa_corpus_347	1
finqa_query_67	finqa_corpus_1381	1
finqa_query_68	finqa_corpus_2827	1
finqa_query_69	finqa_corpus_1151	1
finqa_query_70	finqa_corpus_1791	1
finqa_query_71	finqa_corpus_1995	1
finqa_query_72	finqa_corpus_4261	1
finqa_query_73	finqa_corpus_2552	1
finqa_query_74	finqa_corpus_1366	1
finqa_query_75	finqa_corpus_3125	1
finqa_query_76	finqa_corpus_3114	1
finqa_query_77	finqa_corpus_2195	1
finqa_query_78	finqa_corpus_3120	1
finqa_query_79	finqa_corpus_1600	1
finqa_query_80	finqa_corpus_152	1
finqa_query_81	finqa_corpus_1966	1
finqa_query_82	finqa_corpus_2386	1
finqa_query_83	finqa_corpus_12	1
finqa_query_84	finqa_corpus_5290	1
finqa_query_85	finqa_corpus_3544	1
finqa_query_86	finqa_corpus_5070	1
finqa_query_87	finqa_corpus_2809	1
finqa_query_88	finqa_corpus_4750	1
finqa_query_89	finqa_corpus_1980	1
finqa_query_90	finqa_corpus_2673	1
finqa_query_91	finqa_corpus_1616	1
finqa_query_92	finqa_corpus_1599	1
finqa_query_93	finqa_corpus_1041	1
finqa_query_94	finqa_corpus_2345	1
finqa_query_95	finqa_corpus_2412	1
finqa_query_96	finqa_corpus_1988	1
finqa_query_97	finqa_corpus_20	1
finqa_query_98	finqa_corpus_1583	1
finqa_query_99	finqa_corpus_2385	1
finqa_query_100	finqa_corpus_100	1
finqa_query_101	finqa_corpus_101	1
finqa_query_102	finqa_corpus_102	1
finqa_query_103	finqa_corpus_103	1
finqa_query_104	finqa_corpus_104	1
finqa_query_105	finqa_corpus_105	1
finqa_query_106	finqa_corpus_106	1
finqa_query_107	finqa_corpus_107	1
finqa_query_108	finqa_corpus_108	1
finqa_query_109	finqa_corpus_109	1
finqa_query_110	finqa_corpus_110	1
finqa_query_111	finqa_corpus_111	1
finqa_query_112	finqa_corpus_112	1
finqa_query_113	finqa_corpus_113	1
finqa_query_114	finqa_corpus_114	1
finqa_query_115	finqa_corpus_115	1
finqa_query_116	finqa_corpus_116	1
finqa_query_117	finqa_corpus_117	1
finqa_query_118	finqa_corpus_1169	1
finqa_query_119	finqa_corpus_119	1
finqa_query_120	finqa_corpus_120	1
finqa_query_121	finqa_corpus_121	1
finqa_query_122	finqa_corpus_122	1
finqa_query_123	finqa_corpus_1111	1
finqa_query_124	finqa_corpus_124	1
finqa_query_125	finqa_corpus_125	1
finqa_query_126	finqa_corpus_1089	1
finqa_query_127	finqa_corpus_127	1
finqa_query_128	finqa_corpus_128	1
finqa_query_129	finqa_corpus_129	1
finqa_query_130	finqa_corpus_130	1
finqa_query_131	finqa_corpus_131	1
finqa_query_132	finqa_corpus_132	1
finqa_query_133	finqa_corpus_133	1
finqa_query_134	finqa_corpus_134	1
finqa_query_135	finqa_corpus_135	1
finqa_query_136	finqa_corpus_136	1
finqa_query_137	finqa_corpus_137	1
finqa_query_138	finqa_corpus_138	1
finqa_query_139	finqa_corpus_139	1
finqa_query_140	finqa_corpus_140	1
finqa_query_141	finqa_corpus_1171	1
finqa_query_142	finqa_corpus_1412	1
finqa_query_143	finqa_corpus_143	1
finqa_query_144	finqa_corpus_144	1
finqa_query_145	finqa_corpus_1449	1
finqa_query_146	finqa_corpus_1445	1
finqa_query_147	finqa_corpus_1210	1
finqa_query_148	finqa_corpus_1082	1
finqa_query_149	finqa_corpus_149	1
finqa_query_150	finqa_corpus_150	1
finqa_query_151	finqa_corpus_151	1
finqa_query_152	finqa_corpus_152	1
finqa_query_153	finqa_corpus_153	1
finqa_query_154	finqa_corpus_154	1
finqa_query_155	finqa_corpus_155	1
finqa_query_156	finqa_corpus_156	1
finqa_query_157	finqa_corpus_157	1
finqa_query_158	finqa_corpus_158	1
finqa_query_159	finqa_corpus_159	1
finqa_query_160	finqa_corpus_160	1
finqa_query_161	finqa_corpus_15	1
finqa_query_162	finqa_corpus_1122	1
finqa_query_163	finqa_corpus_163	1
finqa_query_164	finqa_corpus_1063	1
finqa_query_165	finqa_corpus_165	1
finqa_query_166	finqa_corpus_166	1
finqa_query_167	finqa_corpus_167	1
