query-id	corpus-id	score
tiebe_query_0	tiebe_corpus_0	1
tiebe_query_1	tiebe_corpus_1	1
tiebe_query_2	tiebe_corpus_2	1
tiebe_query_3	tiebe_corpus_3	1
tiebe_query_4	tiebe_corpus_4	1
tiebe_query_5	tiebe_corpus_5	1
tiebe_query_6	tiebe_corpus_6	1
tiebe_query_7	tiebe_corpus_7	1
tiebe_query_8	tiebe_corpus_8	1
tiebe_query_9	tiebe_corpus_9	1
tiebe_query_10	tiebe_corpus_10	1
tiebe_query_11	tiebe_corpus_11	1
tiebe_query_12	tiebe_corpus_12	1
tiebe_query_13	tiebe_corpus_13	1
tiebe_query_14	tiebe_corpus_14	1
tiebe_query_15	tiebe_corpus_15	1
tiebe_query_16	tiebe_corpus_16	1
tiebe_query_17	tiebe_corpus_17	1
tiebe_query_18	tiebe_corpus_18	1
tiebe_query_19	tiebe_corpus_19	1
tiebe_query_20	tiebe_corpus_20	1
tiebe_query_21	tiebe_corpus_21	1
tiebe_query_22	tiebe_corpus_22	1
tiebe_query_23	tiebe_corpus_23	1
tiebe_query_24	tiebe_corpus_24	1
tiebe_query_25	tiebe_corpus_25	1
tiebe_query_26	tiebe_corpus_26	1
tiebe_query_27	tiebe_corpus_27	1
tiebe_query_28	tiebe_corpus_28	1
tiebe_query_29	tiebe_corpus_29	1
tiebe_query_30	tiebe_corpus_30	1
tiebe_query_31	tiebe_corpus_31	1
tiebe_query_32	tiebe_corpus_32	1
tiebe_query_33	tiebe_corpus_33	1
tiebe_query_34	tiebe_corpus_34	1
tiebe_query_35	tiebe_corpus_35	1
tiebe_query_36	tiebe_corpus_36	1
tiebe_query_37	tiebe_corpus_37	1
tiebe_query_38	tiebe_corpus_38	1
tiebe_query_39	tiebe_corpus_39	1
tiebe_query_40	tiebe_corpus_40	1
tiebe_query_41	tiebe_corpus_41	1
tiebe_query_42	tiebe_corpus_42	1
tiebe_query_43	tiebe_corpus_43	1
tiebe_query_44	tiebe_corpus_44	1
tiebe_query_45	tiebe_corpus_45	1
tiebe_query_46	tiebe_corpus_46	1
tiebe_query_47	tiebe_corpus_47	1
tiebe_query_48	tiebe_corpus_48	1
tiebe_query_49	tiebe_corpus_49	1
tiebe_query_50	tiebe_corpus_50	1
tiebe_query_51	tiebe_corpus_51	1
tiebe_query_52	tiebe_corpus_52	1
tiebe_query_53	tiebe_corpus_53	1
tiebe_query_54	tiebe_corpus_54	1
tiebe_query_55	tiebe_corpus_55	1
tiebe_query_56	tiebe_corpus_56	1
tiebe_query_57	tiebe_corpus_57	1
tiebe_query_58	tiebe_corpus_58	1
tiebe_query_59	tiebe_corpus_59	1
tiebe_query_60	tiebe_corpus_60	1
tiebe_query_61	tiebe_corpus_60	1
tiebe_query_62	tiebe_corpus_62	1
tiebe_query_63	tiebe_corpus_63	1
tiebe_query_64	tiebe_corpus_64	1
tiebe_query_65	tiebe_corpus_65	1
tiebe_query_66	tiebe_corpus_66	1
tiebe_query_67	tiebe_corpus_67	1
tiebe_query_68	tiebe_corpus_68	1
tiebe_query_69	tiebe_corpus_69	1
tiebe_query_70	tiebe_corpus_70	1
tiebe_query_71	tiebe_corpus_71	1
tiebe_query_72	tiebe_corpus_72	1
tiebe_query_73	tiebe_corpus_73	1
tiebe_query_74	tiebe_corpus_74	1
tiebe_query_75	tiebe_corpus_75	1
tiebe_query_76	tiebe_corpus_76	1
tiebe_query_77	tiebe_corpus_77	1
tiebe_query_78	tiebe_corpus_78	1
tiebe_query_79	tiebe_corpus_79	1
tiebe_query_80	tiebe_corpus_80	1
tiebe_query_81	tiebe_corpus_81	1
tiebe_query_82	tiebe_corpus_82	1
tiebe_query_83	tiebe_corpus_83	1
tiebe_query_84	tiebe_corpus_84	1
tiebe_query_85	tiebe_corpus_85	1
tiebe_query_86	tiebe_corpus_86	1
tiebe_query_87	tiebe_corpus_87	1
tiebe_query_88	tiebe_corpus_88	1
tiebe_query_89	tiebe_corpus_89	1
tiebe_query_90	tiebe_corpus_90	1
tiebe_query_91	tiebe_corpus_91	1
tiebe_query_92	tiebe_corpus_92	1
tiebe_query_93	tiebe_corpus_93	1
tiebe_query_94	tiebe_corpus_94	1
tiebe_query_95	tiebe_corpus_95	1
tiebe_query_96	tiebe_corpus_96	1
tiebe_query_97	tiebe_corpus_97	1
tiebe_query_98	tiebe_corpus_98	1
tiebe_query_99	tiebe_corpus_99	1
tiebe_query_100	tiebe_corpus_100	1
tiebe_query_101	tiebe_corpus_101	1
tiebe_query_102	tiebe_corpus_102	1
tiebe_query_103	tiebe_corpus_103	1
tiebe_query_104	tiebe_corpus_104	1
tiebe_query_105	tiebe_corpus_105	1
tiebe_query_106	tiebe_corpus_106	1
tiebe_query_107	tiebe_corpus_107	1
tiebe_query_108	tiebe_corpus_108	1
tiebe_query_109	tiebe_corpus_109	1
tiebe_query_110	tiebe_corpus_110	1
tiebe_query_111	tiebe_corpus_111	1
tiebe_query_112	tiebe_corpus_112	1
tiebe_query_113	tiebe_corpus_113	1
tiebe_query_114	tiebe_corpus_114	1
tiebe_query_115	tiebe_corpus_115	1
tiebe_query_116	tiebe_corpus_116	1
tiebe_query_117	tiebe_corpus_117	1
tiebe_query_118	tiebe_corpus_118	1
tiebe_query_119	tiebe_corpus_119	1
tiebe_query_120	tiebe_corpus_120	1
tiebe_query_121	tiebe_corpus_121	1
tiebe_query_122	tiebe_corpus_122	1
tiebe_query_123	tiebe_corpus_123	1
tiebe_query_124	tiebe_corpus_124	1
tiebe_query_125	tiebe_corpus_125	1
tiebe_query_126	tiebe_corpus_126	1
tiebe_query_127	tiebe_corpus_127	1
tiebe_query_128	tiebe_corpus_128	1
tiebe_query_129	tiebe_corpus_129	1
tiebe_query_130	tiebe_corpus_130	1
tiebe_query_131	tiebe_corpus_131	1
tiebe_query_132	tiebe_corpus_132	1
tiebe_query_133	tiebe_corpus_133	1
tiebe_query_134	tiebe_corpus_134	1
tiebe_query_135	tiebe_corpus_135	1
tiebe_query_136	tiebe_corpus_136	1
tiebe_query_137	tiebe_corpus_137	1
tiebe_query_138	tiebe_corpus_138	1
tiebe_query_139	tiebe_corpus_139	1
tiebe_query_140	tiebe_corpus_140	1
tiebe_query_141	tiebe_corpus_141	1
tiebe_query_142	tiebe_corpus_142	1
tiebe_query_143	tiebe_corpus_143	1
tiebe_query_144	tiebe_corpus_144	1
tiebe_query_145	tiebe_corpus_145	1
tiebe_query_146	tiebe_corpus_146	1
tiebe_query_147	tiebe_corpus_147	1
tiebe_query_148	tiebe_corpus_148	1
tiebe_query_149	tiebe_corpus_149	1
tiebe_query_150	tiebe_corpus_150	1
tiebe_query_151	tiebe_corpus_151	1
tiebe_query_152	tiebe_corpus_152	1
tiebe_query_153	tiebe_corpus_153	1
tiebe_query_154	tiebe_corpus_154	1
tiebe_query_155	tiebe_corpus_155	1
tiebe_query_156	tiebe_corpus_156	1
tiebe_query_157	tiebe_corpus_157	1
tiebe_query_158	tiebe_corpus_158	1
tiebe_query_159	tiebe_corpus_159	1
tiebe_query_160	tiebe_corpus_160	1
tiebe_query_161	tiebe_corpus_161	1
tiebe_query_162	tiebe_corpus_162	1
tiebe_query_163	tiebe_corpus_163	1
tiebe_query_164	tiebe_corpus_164	1
tiebe_query_165	tiebe_corpus_165	1
tiebe_query_166	tiebe_corpus_166	1
tiebe_query_167	tiebe_corpus_167	1
tiebe_query_168	tiebe_corpus_168	1
tiebe_query_169	tiebe_corpus_169	1
tiebe_query_170	tiebe_corpus_170	1
tiebe_query_171	tiebe_corpus_171	1
tiebe_query_172	tiebe_corpus_172	1
tiebe_query_173	tiebe_corpus_173	1
tiebe_query_174	tiebe_corpus_174	1
tiebe_query_175	tiebe_corpus_175	1
tiebe_query_176	tiebe_corpus_176	1
tiebe_query_177	tiebe_corpus_177	1
tiebe_query_178	tiebe_corpus_178	1
tiebe_query_179	tiebe_corpus_179	1
tiebe_query_180	tiebe_corpus_180	1
tiebe_query_181	tiebe_corpus_181	1
tiebe_query_182	tiebe_corpus_182	1
tiebe_query_183	tiebe_corpus_183	1
tiebe_query_184	tiebe_corpus_184	1
tiebe_query_185	tiebe_corpus_185	1
tiebe_query_186	tiebe_corpus_186	1
tiebe_query_187	tiebe_corpus_187	1
tiebe_query_188	tiebe_corpus_188	1
tiebe_query_189	tiebe_corpus_189	1
tiebe_query_190	tiebe_corpus_190	1
tiebe_query_191	tiebe_corpus_191	1
tiebe_query_192	tiebe_corpus_192	1
tiebe_query_193	tiebe_corpus_193	1
tiebe_query_194	tiebe_corpus_194	1
tiebe_query_195	tiebe_corpus_195	1
tiebe_query_196	tiebe_corpus_196	1
tiebe_query_197	tiebe_corpus_195	1
tiebe_query_198	tiebe_corpus_198	1
tiebe_query_199	tiebe_corpus_199	1
tiebe_query_200	tiebe_corpus_200	1
tiebe_query_201	tiebe_corpus_201	1
tiebe_query_202	tiebe_corpus_200	1
tiebe_query_203	tiebe_corpus_203	1
tiebe_query_204	tiebe_corpus_204	1
tiebe_query_205	tiebe_corpus_198	1
tiebe_query_206	tiebe_corpus_206	1
tiebe_query_207	tiebe_corpus_204	1
